Confidence_Threshold,Margin_Threshold,CNN_Fusion_Alpha,Total_Corrected,Angry_Disgust,Fear_Sad_Neutral,Fear_Surprise,Sad_Neutral,Feature_Type,Model,Dataset,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1
0.45,0.05,0.0,481,17,412,52,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6315300673322498,0.6012851736547088,0.6147363989698633,0.6072662476091258,0.6265482383469525,0.6315300673322498,0.6285045675422617
0.45,0.05,0.25,481,17,412,52,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6312978871604364,0.6010134308082778,0.6144688672305065,0.6070039828497381,0.626179778607563,0.6312978871604364,0.628215481070541
0.45,0.05,0.5,481,17,412,52,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6333875087067564,0.6027634591825775,0.6161805736390706,0.608723020074646,0.6281938102615899,0.6333875087067564,0.6302617350209586
0.45,0.05,0.75,481,17,412,52,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.634548409565823,0.6031317878545082,0.6172706115125185,0.6094204133579334,0.629570462430604,0.634548409565823,0.6315603496609792
0.45,0.05,1.0,481,17,412,52,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6368702112839564,0.6038803227540062,0.6233535261911358,0.6123122554050761,0.6318563251129744,0.6368702112839564,0.6337416339968114
0.45,0.1,0.0,512,18,437,57,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6319944276758764,0.6020381879130009,0.6153146303188487,0.6079618252871384,0.6270667315564866,0.6319944276758764,0.6290249630490543
0.45,0.1,0.25,512,18,437,57,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6317622475040632,0.6017731691129813,0.6150470985794919,0.6077022574854257,0.6267053389497641,0.6317622475040632,0.6287386512439088
0.45,0.1,0.5,512,18,437,57,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6343162293940098,0.6039428457982299,0.617147603877202,0.6098221579697044,0.6291945442997616,0.6343162293940098,0.6312513112828944
0.45,0.1,0.75,512,18,437,57,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.635244950081263,0.6040962086893645,0.6180405974156746,0.610313757121708,0.6303424415353046,0.635244950081263,0.6323191295043231
0.45,0.1,1.0,512,18,437,57,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6368702112839564,0.6038803227540062,0.6233535261911358,0.6123122554050761,0.6318563251129744,0.6368702112839564,0.6337416339968114
0.45,0.15,0.0,551,18,466,67,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6326909681913164,0.6028191209521724,0.6160846162220048,0.6087398702397776,0.6277858318043198,0.6326909681913164,0.6297359712634581
