Group,Classes,Model,Validation_Accuracy_Within_Group,Validation_Macro_F1_Within_Group,Training_Time_Seconds,Train_Samples,Validation_Samples
Angry_Disgust,Angry / Disgust,Balanced_Logistic_Regression,0.9788961038961039,0.7120149602618046,0.03416013717651367,3490,616
Angry_Disgust,Angry / Disgust,KNN_3_Distance,0.9772727272727273,0.6442244224422442,0.0019979476928710938,3490,616
Angry_Disgust,Angry / Disgust,KNN_5_Distance,0.9772727272727273,0.6442244224422442,0.002057313919067383,3490,616
Fear_Sad_Neutral,Fear / Sad / Neutral,Balanced_Logistic_Regression,0.6329174664107485,0.632793720769942,1.4706571102142334,11808,2084
Fear_Sad_Neutral,Fear / Sad / Neutral,KNN_3_Distance,0.6074856046065259,0.6044521984855958,0.004465818405151367,11808,2084
Fear_Sad_Neutral,Fear / Sad / Neutral,KNN_5_Distance,0.6257197696737045,0.6219938528062344,0.015491008758544922,11808,2084
Fear_Surprise,Fear / Surprise,Balanced_Logistic_Regression,0.846012832263978,0.8433210922594014,0.4097001552581787,6177,1091
Fear_Surprise,Fear / Surprise,KNN_3_Distance,0.8395967002749771,0.8366717566394204,0.0044710636138916016,6177,1091
Fear_Surprise,Fear / Surprise,KNN_5_Distance,0.851512373968836,0.8490623078499693,0.004868984222412109,6177,1091
Sad_Neutral,Sad / Neutral,Balanced_Logistic_Regression,0.7440435670524166,0.7439912492120583,0.5089023113250732,8326,1469
Sad_Neutral,Sad / Neutral,KNN_3_Distance,0.7093260721579305,0.707502197476807,0.005738258361816406,8326,1469
Sad_Neutral,Sad / Neutral,KNN_5_Distance,0.7215793056501021,0.7195812534858594,0.017687082290649414,8326,1469
