Feature_Type,Model,CNN_Probability_Weight,Validation_Accuracy,Validation_Macro_F1
PCA_CNN_Deep_Feature_Probability_Fusion,KNN,0.0,0.615312353217473,0.552137854954163
PCA_CNN_Deep_Feature_Probability_Fusion,KNN,0.1,0.6235321747299202,0.5694507086145066
PCA_CNN_Deep_Feature_Probability_Fusion,KNN,0.2,0.6263503992484735,0.5717929638672791
PCA_CNN_Deep_Feature_Probability_Fusion,KNN,0.30000000000000004,0.6364490371066228,0.5798520363039851
PCA_CNN_Deep_Feature_Probability_Fusion,KNN,0.4,0.6420854861437294,0.582205948314326
PCA_CNN_Deep_Feature_Probability_Fusion,KNN,0.5,0.6486613433536872,0.5883657344904779
PCA_CNN_Deep_Feature_Probability_Fusion,KNN,0.6000000000000001,0.6514795678722405,0.5893038719234652
PCA_CNN_Deep_Feature_Probability_Fusion,KNN,0.7000000000000001,0.6538280883043682,0.591568266373128
PCA_CNN_Deep_Feature_Probability_Fusion,KNN,0.8,0.6517144199154533,0.5876107407713848
PCA_CNN_Deep_Feature_Probability_Fusion,KNN,0.9,0.6491310474401127,0.5848487900700048
PCA_CNN_Deep_Feature_Probability_Fusion,KNN,1.0,0.6456082667919211,0.5817854096823639
