Feature_Type,Model,Dataset,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Training_Time_Seconds,CNN_Probability_Weight,PCA_Explained_Variance,Confidence_Threshold,Margin_Threshold,CNN_Fusion_Alpha,Correction_Features,Stacking_Sources
CNN_EndToEnd,End_to_End_CNN,Validation,0.6456082667919211,0.6074196788172636,0.5725660752290562,0.5817854096823639,0.64230782582805,0.6456082667919211,0.6423865116249469,,,,,,,,
CNN_EndToEnd,End_to_End_CNN,Test,0.6288151406104225,0.641686920147597,0.5830299275988665,0.5893231391307631,0.6375234201263257,0.6288151406104225,0.6230752483696347,,,,,,,,
CNN_Deep_Feature,Logistic_Regression,Validation,0.6413809300140911,0.6168159754088283,0.567916448226759,0.5815310430028193,0.6399074925325852,0.6413809300140911,0.639468797899799,1.5544519424438477,,,,,,,
CNN_Deep_Feature,Logistic_Regression,Test,0.625083300013328,0.6526349669070125,0.5730640329014101,0.5784066020174563,0.6426538255311368,0.625083300013328,0.6192686074138046,1.5544519424438477,,,,,,,
CNN_Deep_Feature,KNN,Validation,0.6430248943165806,0.6104910460120132,0.5628027611411374,0.574994052344361,0.6439884097236891,0.6430248943165806,0.6425360253509016,0.001558065414428711,,,,,,,
CNN_Deep_Feature,KNN,Test,0.6286818605890977,0.6613510440381418,0.574579393509455,0.5775082950815454,0.6488628581603026,0.6286818605890977,0.6218439381204005,0.001558065414428711,,,,,,,
CNN_Deep_Feature,SGD_Linear_SVM,Validation,0.6427900422733678,0.610762673657127,0.5583531519174242,0.5716566637390973,0.6430901927757301,0.6427900422733678,0.6406946753792321,0.654548168182373,,,,,,,
CNN_Deep_Feature,SGD_Linear_SVM,Test,0.616953218712515,0.6524056708009266,0.5539906270227216,0.5527685764034604,0.6396788784716964,0.616953218712515,0.6062858439905773,0.654548168182373,,,,,,,
CNN_Deep_Feature_Probability_Fusion,CNN_ML_Prob_Fusion_Logistic_Regression,Validation,0.6470173790511977,0.6205769311617715,0.5733129142824265,0.5860069691493023,0.6447864092383849,0.6470173790511977,0.6446420025636123,1.4514591693878174,0.5,,,,,,
CNN_Deep_Feature_Probability_Fusion,CNN_ML_Prob_Fusion_Logistic_Regression,Test,0.6285485805677729,0.6521020912271769,0.578746977166711,0.584456129818314,0.6428247289218187,0.6285485805677729,0.6224429086258048,1.4514591693878174,0.5,,,,,,
CNN_Deep_Feature_Probability_Fusion,CNN_ML_Prob_Fusion_KNN,Validation,0.658290277125411,0.6317632739866275,0.5841753174885327,0.5965808325014024,0.6573070433307037,0.658290277125411,0.6560839837389989,0.0014820098876953125,0.6000000000000001,,,,,,
CNN_Deep_Feature_Probability_Fusion,CNN_ML_Prob_Fusion_KNN,Test,0.6388111422097827,0.6634267946674363,0.5898452719027004,0.5960366840770933,0.6534456180685703,0.6388111422097827,0.6330410215991803,0.0014820098876953125,0.6000000000000001,,,,,,
PCA_CNN_Deep_Feature,Logistic_Regression,Validation,0.6463128229215594,0.620760147401907,0.5719308065208294,0.585679684962327,0.6444528654372884,0.6463128229215594,0.6443871241198393,0.14443016052246094,,0.9783897995948792,,,,,
PCA_CNN_Deep_Feature,Logistic_Regression,Test,0.6236172197787552,0.6499447540667137,0.5707051461296401,0.5755699842117031,0.6406773232530543,0.6236172197787552,0.6174080125581528,0.14443016052246094,,0.9783897995948792,,,,,
PCA_CNN_Deep_Feature,KNN,Validation,0.615312353217473,0.6040585947803133,0.5369339429893142,0.552137854954163,0.6175316601456211,0.615312353217473,0.6139429497318809,0.0010030269622802734,,0.9783897995948792,,,,,
PCA_CNN_Deep_Feature,KNN,Test,0.6069572171131548,0.6475065307137919,0.5503453630355398,0.5542318822888367,0.6273312309909364,0.6069572171131548,0.5982462186351966,0.0010030269622802734,,0.9783897995948792,,,,,
PCA_CNN_Deep_Feature,SGD_Linear_SVM,Validation,0.6463128229215594,0.6807530623820487,0.5469576768000254,0.5525142391876116,0.6446150044284333,0.6463128229215594,0.6421049618412347,0.06985592842102051,,0.9783897995948792,,,,,
